16884679134.62 ,0,131,0,0,4.758984465
16884679144.63 ,0,131,-0.104907889,0.039292322,4.769117279
16884679154.51 ,0,133,-0.170079236,0.027764293,4.787987125
16884679164.70 ,0,133,-0.217524847,0.01656692,4.819478074
16884679174.67 ,0,127,0.052830004,-0.277447135,4.845604765
16884679184.50 ,0,127,0.998861022,-1.146659243,4.92894648
16884679194.50 ,0,132,2.176911012,-2.155915574,4.947685251
16884679204.51 ,0,132,3.490742675,-3.255449697,4.971148856
16884679214.69 ,0,130,5.099064013,-4.576361079,5.004661144
16884679224.76 ,0,130,6.876248085,-6.275677814,5.022220452
16884679234.53 ,0,136,8.799075985,-8.415706755,5.061295534
16884679244.50 ,0,132,10.79973026,-10.92552663,5.111964173
16884679254.50 ,0,132,12.86135491,-13.73326554,5.14433619
16884679264.51 ,0,136,15.0590922,-16.82720925,5.192159102
16884679274.51 ,0,136,17.36110699,-20.10482836,5.222877227
16884679284.52 ,0,136,19.67477812,-23.41316604,5.245487577
16884679294.50 ,0,136,21.90261405,-26.75404104,5.279793608
16884679304.51 ,0,138,24.39532117,-30.21372134,5.262258644
16884679314.50 ,0,138,26.97534971,-33.8986422,5.272017804
16884679324.51 ,0,139,29.59231534,-37.84068038,5.296720248
16884679334.54 ,0,139,32.26225916,-42.00859955,5.385525952
16884679344.51 ,0,136,35.16003072,-46.38882507,5.444368778
16884679354.52 ,0,136,38.26477326,-50.99205805,5.465989295
16884679364.50 ,0,131,41.58221865,-55.82850356,5.510150811
16884679374.51 ,0,131,45.00813601,-60.77635849,5.538429832
16884679384.50 ,0,139,48.30101969,-65.60294606,5.614069106
16884679394.51 ,0,135,51.39729064,-70.22695446,5.655670532
16884679404.50 ,0,135,54.34107067,-74.6372484,5.710222011
16884679414.51 ,0,136,57.07624346,-78.85549981,5.741554563
16884679424.52 ,0,132,59.61644156,-82.84020541,5.843493002
16884679434.50 ,0,132,61.99374635,-86.52889309,5.916021817
16884679444.51 ,0,137,64.70690068,-89.44820349,6.006275879
16884679454.51 ,0,135,67.04044474,-92.39522119,6.045647656
16884679464.52 ,0,134,68.95517935,-95.05099712,6.123896272
16884679474.53 ,0,134,70.47668473,-97.30161915,6.170495797
16884679484.52 ,0,134,71.59470484,-99.01321927,6.227501289
16884679494.51 ,0,134,72.47208788,-100.4199413,6.298819867
16884679504.50 ,0,133,73.34614748,-101.8267251,6.364556869
16884679514.51 ,0,133,74.56160655,-103.7118151,6.425763164
16884679524.51 ,0,136,76.23324469,-106.2277531,6.485018701
16884679534.53 ,0,136,78.14113576,-109.1105238,6.54035148
16884679544.51 ,0,130,80.01194408,-111.7877404,6.586888738
16884679554.51 ,0,130,82.12291957,-114.3882883,6.627678995
16884679564.51 ,0,130,84.44755986,-117.2735918,6.667448512
16884679574.52 ,0,134,86.96003951,-120.722564,6.714490417
16884679584.51 ,0,134,89.9253297,-124.7405717,6.765455671
16884679594.51 ,0,134,92.94012365,-129.2732676,6.817801768
16884679604.51 ,0,137,96.24294989,-134.2749506,6.876020713
16884679614.51 ,0,133,99.86627513,-139.703765,6.928057173
16884679624.51 ,0,133,103.6879964,-145.4898035,7.048312091
16884679634.52 ,0,137,107.7886557,-151.4356293,7.082381716
16884679644.51 ,0,134,112.0153686,-157.5440954,7.132899203
16884679654.50 ,0,131,116.4095635,-163.6597446,7.190358513
16884679664.51 ,0,131,120.6890278,-169.6847218,7.250100829
16884679674.59 ,0,135,124.9109328,-175.7726437,7.290763346
16884679684.51 ,0,135,129.2511946,-181.6108592,7.370124515
16884679694.52 ,0,137,133.4408891,-187.3384475,7.39482055
16884679704.53 ,0,134,137.5599275,-192.9023559,7.432340987
16884679714.55 ,0,134,141.4817798,-197.9955792,7.790865718
16884679724.51 ,0,137,145.3718651,-202.0994177,8.061189753
16884679734.51 ,0,134,149.2171897,-204.6366292,8.184883867
16884679744.51 ,0,134,154.7341916,-204.3480149,8.190896806
16884679754.55 ,0,137,159.5063058,-202.8049017,8.180886441
16884679764.52 ,0,137,162.8620134,-200.5457505,8.08235798
16884679774.51 ,0,115,166.6808744,-197.3911023,8.241040501
16884679784.51 ,0,115,170.974254,-193.4748048,8.199988931
16884679794.52 ,0,129,176.2662062,-189.3233118,8.311708796
16884679804.51 ,0,129,182.2479765,-184.9011388,8.268141119
16884679814.55 ,0,131,188.5796499,-179.9877634,8.078615429
16884679824.79 ,0,137,195.2128025,-175.2543838,7.970307318
16884679834.58 ,0,129,201.7020278,-170.6474412,7.894505554
16884679844.51 ,0,129,207.7879931,-166.0480296,7.715330715
16884679854.53 ,0,126,213.5536308,-161.9805227,7.646323532
16884679864.51 ,0,126,218.3180383,-158.5401269,7.658113364
16884679874.54 ,0,120,222.0176301,-155.8827107,7.727689165
16884679884.52 ,0,120,224.4080995,-153.9818968,7.546190204
16884679894.91 ,0,129,225.7134206,-153.0809961,7.612765407
16884679904.59 ,0,133,226.2902889,-152.6371166,7.51502392
16884679914.54 ,0,132,226.3552211,-152.5534071,7.50907373
16884679924.52 ,0,132,226.2368259,-152.5040561,7.49526301
16884679934.55 ,0,133,226.1753164,-152.4742677,7.561905219
16884679944.51 ,0,133,226.1152996,-152.4650758,7.559961746
16884679954.51 ,0,116,226.0576909,-152.4661511,7.532853731
16884679964.58 ,0,116,225.9965662,-152.4569798,7.508650383
16884679974.71 ,0,131,225.957068,-152.4783415,7.526540038
16884679984.78 ,0,131,225.8527368,-152.4699767,6.963000591
16884679994.67 ,0,112,225.7871807,-152.4608882,6.944563985
16884680004.54 ,0,112,225.7421433,-152.4823532,6.954522585
